,Anonymized Message,Avg_Valence,Avg_Arousal,Valence_Scaled,Arousal_Scaled
2435,A true friend laughs at your stories even when they're not so good,5.5,1.5,0.0,-2.0
2436,600 is filled with too many people that don't know gym etiquette.,4.0,1.5,-1.0,-2.0
2437,a chowdhury.,5.0,1.0,0.0,-2.0
2438,"I heard em all talk, about how much they want me, but aint never had nobody put it on me. Keep doing what you doing cause it aint been done to me.",4.5,1.5,-1.0,-2.0
2439,"NO ONE needs to be in contact with me this weekend cuz I will b on my xbox and gotta set up my two weeks vacation. Hopefully Vegas falls through, (I do need it)/ worked 6 day work weeks for the past 4 months str8---- peace!!!!",5.0,5.5,0.0,0.0
2440,"Ah, don't like me CDS. Why oh why no BFA? Why must be afternoon? :(",4.0,2.5,-1.0,-2.0
2441,just got done watching fireworks,5.0,1.0,0.0,-2.0
2442,Graduating on Friday!  Call me if you can make it out!,6.0,5.5,1.0,0.0
2443,"thanks ******_!!! ,]",5.0,6.5,0.0,0.0
2444,The fish in the water is silent,5.0,1.5,0.0,-2.0
2445,Mountain Biking: my personal version of Hell. God must have been in an ironic mood when I was born.,3.5,2.0,-1.0,-2.0
2446,the new layout sucks i hate it i think i am going to get rid of it if they keep changing it,3.5,3.0,-1.0,-2.0
2447,TGIF!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,6.5,9.0,1.0,1.0
2448,Have you ever danced with the devil in the pale moonlight???,5.0,3.5,0.0,-1.0
2449,"got so much to do tomorrow gotta get check, doctors, and homework. busy busy busy lol",5.0,2.0,0.0,-2.0
2450,It's nice to have full unlimited internet access again.,5.5,1.5,0.0,-2.0
2451,Sitting here with my husband... sadly thats all i ever do anymore lol,4.5,2.5,-1.0,-2.0
2452,HOLIDAYS XD XD,6.0,5.5,1.0,0.0
2453,To God be the glory.,5.0,1.5,0.0,-2.0
2454,"Hello sweetheart!! Promise to God I didn't, didn't even realize that you called! Whats up bro?",5.5,5.5,0.0,0.0
2455,Dude! Really? Cancelled again. Grrr...,4.0,5.5,-1.0,0.0
2456,Have you ever looked at a picture and had it bring you to tears b/c for an instant you think you see it in thier eyes too and if only....,3.5,2.5,-1.0,-2.0
2457,what can I get for free?,5.0,1.5,0.0,-2.0
2458,"chelsea winning 8-0 n winning league!! not nxt year, mon utd!!!",5.5,6.5,0.0,0.0
2459,has got his car back!! :),6.5,5.5,1.0,0.0
2460,..is at home stayin warm n cozy..btw sims 3 is addictive..,6.0,2.0,1.0,-2.0
2461,still at jorg and stacey's enjoying chillin with the family!,6.0,5.5,1.0,0.0
2462,shit quit,4.0,2.5,-1.0,-2.0
2463,studying colonialism emily lost yiying's letter-.- yiying look at this,5.0,2.5,0.0,-2.0
2464,God is real and so is his love!!!,6.5,6.5,1.0,0.0
2465,wow im behind on facebook.  lol how sad is that?,4.5,2.0,-1.0,-2.0
2466,Not much left here for me!,3.0,5.5,-1.0,0.0
2467,"Do you bury me when I'm gone?	Do you teach me while I'm here?	Just as soon as I belong, then it's time I disappear...............",4.5,2.5,-1.0,-2.0
2468,"My tummy keeps hurting ,___, !!",4.0,5.5,-1.0,0.0
2469,made amazing home made calzones mmmmmmm......its nice loving to cook!,6.5,5.0,1.0,0.0
2470,"Origin of the leap year, just an FYI for those interested...",5.0,2.0,0.0,-2.0
2471,Taxes are done!!  :),6.0,5.5,1.0,0.0
2472,~Without firiends life is not worth living~,5.0,1.5,0.0,-2.0
2473,"BROTHER/SISTER WEEK!!!!!! Everyone change your profile pic to a picture of you with your brother or sister or both! Picture can be from when you were young or a current one! Copy and paste this, and lets see how many people love their siblings!!!!",5.0,6.5,0.0,0.0
2474,"Olly looks like a THUNDER tonight, that's why Simon is so called an entertainment genius!",5.0,5.0,0.0,0.0
2475,excited to see my family .....,6.0,2.0,1.0,-2.0
2476,Back from Vegas...,5.0,1.5,0.0,-2.0
2477,Thinks some people need to be told that being a bitch should be a hobby not a career!,4.5,5.0,-1.0,0.0
2478,is making stickers!!!,5.5,5.5,0.0,0.0
2479,i hav an evaluation of this quarter in about an hour. wish me luck =],6.0,2.5,1.0,-2.0
2480,happy birthday to me,5.5,1.5,0.0,-2.0
2481,"3 weeks and over 100 pages of literature on the condition of our school systems read. Just wow! Our public school systems need help. I mean I knew they needed help. I just never realized how much research there is backing up what I already believed.  @<PERSON>, you have my sympathies-- I'm conducting an interview of <PERSON> (CCSD CoStaff, Office of Superintendant) Friday.. wish me luck",4.0,3.0,-1.0,-2.0
2482,Hi!Mzantsi plz give me sex tips!,5.0,5.0,0.0,0.0
2483,I saw this guy acting like his SWAG was on full attack when he was just FUBU (FAT UGLY BLACK & UNCOMFORTABLE) DWL! Rite Chenees Beckford? LMAO!,4.0,6.5,-1.0,0.0
2484,"Leaving for Milwaukee in a month, wish me luck. It's a fresh start, which is everything I've ever wanted.",7.0,2.5,1.0,-2.0
2485,Horseshoe N Bricks r done plz send other things.,5.0,1.5,0.0,-2.0
2486,so so bored would love 2 go out,4.5,2.0,-1.0,-2.0
2487,Citer Fair sold kings island to Apollo management!!!!!!!!!!!!!!,5.0,8.0,0.0,1.0
2488,French blows..... specially french quizzes.,4.0,3.0,-1.0,-2.0
2489,Of to go be Grown!! I will own Thailand after tonight,5.5,5.5,0.0,0.0
2490,ha .....................?,5.0,3.0,0.0,-2.0
2491,"after one week at guitars, im now the top bar top bar back, not too shaby",5.5,1.5,0.0,-2.0
2492,Friendship is like peeing in your pants: Everyone can see it but only you can feel its warmth.,5.5,1.5,0.0,-2.0
2493,I have to hold on to the big picture.,5.5,1.5,0.0,-2.0
2494,:(.......2/9/11......hopper...8 by 8=Gratitude beyond words.,4.0,2.5,-1.0,-2.0
2495,Thanks to all that wished me a Happy Birthday!  Much appreciated!!,7.0,5.5,1.0,0.0
2496,j10oreo = my xboxlive gamertag. see you on the frontlines,5.0,1.0,0.0,-2.0
2497,says: There are black bears EVERYWHERE! Please hike in groups! I was hiking alone and came face to face with a huge bear. Tip: Do Not Run from or Yell at a Bear: They WILL Come After You. Walk away slowly.,4.5,5.0,-1.0,0.0
2498,"just finish reading the young warriors by V.S. Reid book i should have read from seventh grade <PERSON> you must be proud of me ,)",6.0,2.0,1.0,-2.0
2499,"He stepped down, trying not to look long at her, as if she were the sun, yet he saw her, like the sun, even without looking.",5.0,1.5,0.0,-2.0
2500,started school tuesday and got hit with the frankenstien virus im so freakin sick now things i need to do and i have a test tomorrow how am i gonna study when i cant evn breathe,3.0,2.5,-1.0,-2.0
2501,well we survived the trail clinic sprit did sooo good i was very proud of her i am glad she does not spook easy she doesnt mind the flags the sacks dragging anyone who rides know just what i am talking about payton and forest did good too!!!! the trails where kinda blah not real extreme but fun!!!,7.0,6.0,1.0,0.0
2502,"The bad news is the damage to your eye has caused it to become incredibly photosensitive, so you'll need to wear this eyepatch. Good news is you'll look fucking awesome!",5.0,5.0,0.0,0.0
2503,ok so im selling some ipod touch(s) 1gen (16g) and 3rd gen (32g) i have all the goodies that come with them and the original boxes both in really good condition but i have no need for them shoot me a bid :),5.5,1.5,0.0,-2.0
2504,Wants to know why Facebook wants to know whats on my mind??? hm-mm Facebook are you worried about me !         :P,5.0,5.0,0.0,0.0
2505,"BEFORE THE END OF 2009, YOU AND I SHOULD __________________! SEND ME YOUR ANSWER (BE HONEST, DOESN'T MATTER WHAT IT IS)",5.0,5.5,0.0,0.0
2506,"The optimist proclaims that we live in the best of all possible worlds, the pessimist fears this is true.",5.0,1.5,0.0,-2.0
2507,"Profile picture I took at The Dark Side of the Moon concert, soon I'll have some from The Wall, 17 days!",5.5,5.0,0.0,0.0
2508,just measured my weight i put on 8 kilos in the last month xD getting fater... have to start exercising :P,4.5,2.5,-1.0,-2.0
2509,thank you guys for the B day wishes,5.5,1.5,0.0,-2.0
2510,Putting one foot in front of the other...more like dragging one foot in front of the other.,3.5,2.5,-1.0,-2.0
2511,"When you become detached mentally from yourself and  concentrate on     helping other people with their difficulties, you will be able to  cope with your own more     effectively. Somehow, the act of self-giving is a personal  power-releasing factor. (the pisces man )",6.5,1.0,1.0,-2.0
2512,1 year older and got thrown into the pool...haha...THX 4 the birthday wishes and THANKZ so much 4 the surprise i had on my birthday!!! I enjoyed it a lot ^_^,7.0,5.5,1.0,0.0
2513,"If you and I woke up in jail together...using only FOUR words...what would you say to me? Copy and paste this in your status and see what funny (and interesting) things your friends say. (And if you make a comment, you gotta put this in your status. Fair is fair)",5.0,2.5,0.0,-2.0
2514,You are my first romance..............,6.0,2.0,1.0,-2.0
2515,need *sleep*,4.0,1.5,-1.0,-2.0
2516,"u no u want me , u no i dnt want ya :]",5.0,2.0,0.0,-2.0
2517,"new locks, new keys, new lashes, night off, i think its time to go out and have a little fun :-)",6.5,2.0,1.0,-2.0
2518,Pfft. like i dont got none. How drunk do u have to be b4 u lose your shoe in your own house.,4.0,2.5,-1.0,-2.0
2519,"Have I found you....Flightless bird, grounded, bleeding or lost you, american mouth...",5.0,2.0,0.0,-2.0
2520,going to school -.-,4.0,1.5,-1.0,-2.0
2521,thanks for all the b-day wishes!,6.0,5.0,1.0,0.0
2522,hey Peeps (SSP),5.0,1.5,0.0,-2.0
2523,"Wat to do, Wat to do.......",5.0,1.5,0.0,-2.0
2524,just received his favorite email of each semester,5.5,1.0,0.0,-2.0
2525,poo,4.5,1.0,-1.0,-2.0
2526,"You poor sweet innocent thing, dry your eyes and testify. You know you live to break me. Don't deny. Sweet Sacrifice..*",4.5,1.5,-1.0,-2.0
2527,i have 4 tickets to the lancer hockey game on sat,5.0,1.0,0.0,-2.0
2528,Happy birthday to both <PERSON> and <PERSON>! Two tremendously wonderful musicians who indeed deserve the celebration.,6.5,5.5,1.0,0.0
2529,"tyty! I wish ya all da best, have a fab day and night! xD cheerio!",7.0,5.5,1.0,0.0
2530,"congratulations to all the pc grad , if have joined your faternity as of 10:33 am.",6.0,1.5,1.0,-2.0
2531,When one door closes,5.0,1.0,0.0,-2.0
2532,Missing Sarah from Tuesday,4.0,1.0,-1.0,-2.0
2533,"I've been job hunting for a much better job than what I have now for months and it is so frustrating all of the responses I keep on getting are We are sorry there are no openings at this time\ I keep on praying that I get something soon.\""""",4.0,1.5,-1.0,-2.0
2534,feels like tearin someone's ass up,4.0,2.5,-1.0,-2.0
2535,"Ok, had to change this by request.  Good morning facebook.  I hope your last few days have been just as good as mine have been.  Get out there and make it happen.  :)",7.5,2.5,1.0,-2.0
2536,It's been a long day but well worth it I must say!,6.0,5.0,1.0,0.0
2537,"So I  just took all of my son's toys and his tv out of his room.... for the hundredth time! Once again, he's left with nothing but his bed and dresser. He's so bad all the time, will he never learn how to behave?!",3.5,6.5,-1.0,0.0
2538,"Forever: Alma, our alma mater. The home of Mountaineers. Sing we of thy honor, everlasting through the years. Alma, our alma mater. We pledge in song to you...HAIL, all hail our alma mater, West Virginia U.",5.5,3.0,0.0,-2.0
2539,just finished catching up on 4 1/2 seasons of how i met your mother and it was legen--wait for it--DARY!,5.5,5.5,0.0,0.0
2540,"Room for improvement: If there is anything you dislike or unhappy about me or if it is something you think that I lack in my character, please feel free to tell me about it. I would appreciate it if you comment about my negative sides and I will definitely do my best to change and improve der. :)  T.T",6.5,2.0,1.0,-2.0
2541,"There comes a point in your life when you realize:        Who matters,        Who never did,        Who won't anymore...        And who always will.        ...So, don't worry about people from your past, there's a reason why they didn't make it to your future",6.0,2.5,1.0,-2.0
2542,Running errands! oh the joy!!,4.0,6.0,-1.0,0.0
2543,"I received an email from Walmart informing me that they miss me.  Thanks Walmart.  I don't miss you back, but I appreciate the sentiment.",5.0,1.5,0.0,-2.0
2544,"wipe your intellect at the door, bring in your warm imagination leave me a slice or more, be more than an apparation",5.0,1.5,0.0,-2.0
2545,MD Psychiatry......   yipppeee!!!!!!,6.5,6.5,1.0,0.0
2546,Got sick of using limewire anyone know a good site or program to download muxic with o_0,5.0,2.5,0.0,-2.0
2547,Can't wait to see my Mommie and Daddy March 5th :) :) :) :)  :)  :),7.5,4.5,1.0,-1.0
2548,Thank you everyone for your bday wishes,5.5,1.5,0.0,-2.0
2549,I just say the craziest little things!<3,5.5,5.5,0.0,0.0
2550,where is all the snow??,4.5,3.5,-1.0,-1.0
2551,"Put         this on your status if you know someone who suffers from being a         Tottenham fan. Being a Tottenham Fan is a real disorder and should be         taken seriously. There is still no known cure and sympathy does not         help. But we can raise awareness. 90% of Tottenham fans wont repost this         because they don't know how to copy and paste. Join us,to keep         tottenham fans away from our lives......for ever .. :D",5.5,2.0,0.0,-2.0
2552,needs a copyrighter/translator for a job. Can anyone advise me?,5.0,1.0,0.0,-2.0
2553,Do I look like Shaggy?,5.0,1.0,0.0,-2.0
2554,looks like I ma going in for Eda tonight.,5.0,1.5,0.0,-2.0
2555,HEADACHE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,3.0,9.0,-1.0,1.0
2556,I've got such a great wifey! Call of duty black ops came out today and she made sure we got a copy already!! Hell yeah. I love you boo!,7.0,5.5,1.0,0.0
2557,Hi all thank you sooo much for the B-day wishes im blessed out of my sox! to be remembered by all of you!!,7.5,5.5,1.0,0.0
2558,"Why is it hard to find honest friends\?\""""",3.5,2.0,-1.0,-2.0
2559,"Well, I didn't make Chief, and I am no longer the LPO (apparently I'm arrogant, among other things), but at least I got the orders I wanted. 8th & I, here I come...now I just have to get through living the next 8 months in what feels like the left armpit of the world.",3.5,2.5,-1.0,-2.0
2560,Life is what you make of it..... Remember this before you make any rash decisions!,5.5,5.0,0.0,0.0
2561,two new Blackened Dawn t-shirts have been designed.... brootal. Also it appears I will have yet another new guitar added to the family.... that brings me up to 9 kids now if thats the case.,5.0,2.0,0.0,-2.0
2562,As the hart panteth after the water brooks,5.0,1.0,0.0,-2.0
2563,"Is all good the weather man got it all wrong,thank god!!!!!",6.0,6.5,1.0,0.0
2564,burp gag cough!! the birthday shannigans have come to a much deserved end..          :(,4.0,5.0,-1.0,0.0
2565,Grrrrrrrrrrrrrr!,4.0,5.0,-1.0,0.0
2566,Dont know if im goin 2 the movies anymore :/,4.0,2.0,-1.0,-2.0
2567,I'm so done right now...I hate this feeling of being lost I'm so used to being in control,2.5,3.0,-1.0,-2.0
2568,OOHH!!! so smooth!! lakers baby..two-four all day everyday,6.0,6.0,1.0,0.0
2569,It's been a Stevie Wonder kind of week. :D,6.0,3.0,1.0,-2.0
2570,gonna be afk for a few days after this so safe to all my friends and sorry if i haven't got in touch,5.0,1.5,0.0,-2.0
2571,schizophrenia test =/,3.5,2.0,-1.0,-2.0
2572,gud luck 4 all the pmr candidates!!!!!!!!!!!,5.5,7.0,0.0,1.0
2573,36 days left~ 5 weeks to go~ break!break!break!,5.5,5.0,0.0,0.0
2574,I'm a cat.,5.0,1.0,0.0,-2.0
2575,"well I had the surgery on my knee and i believe it hurts more now than before, lol. should be going back to work around the first, maybe sooner.",4.0,2.0,-1.0,-2.0
2576,<3,6.0,1.0,1.0,-2.0
2577,Fina go to dis party then tallahassee,5.0,1.5,0.0,-2.0
2578,bOrEd OuT oF mY MiNd,4.0,3.0,-1.0,-2.0
2579,please help with barn  raising <URL>,5.0,1.0,0.0,-2.0
2580,don't understand all the hullabaloo over language in maharashtra???afterall we all smile in the same lexicon....don't we?,5.0,3.5,0.0,-1.0
2581,starting school next month,5.0,1.0,0.0,-2.0
2582,"loves the purse she got for her birthday. :) Thank goodness, the old one is in shreds...literally.",6.5,2.5,1.0,-2.0
2583,I DOUBLE DOG DARE you to like this status.,5.0,3.5,0.0,-1.0
2584,FACEBOOK OFf again... Ã¢â€”â€ž(:-PÃ¢â€“Âº,5.0,2.5,0.0,-2.0
2585,lets go steelers,5.5,1.5,0.0,-2.0
2586,"missin my baby <3 ,, beddd(: class in the am then work 3to11..",5.5,3.0,0.0,-2.0
2587,"says Don't Be Serious Be Sincere\\""""",5.5,1.5,0.0,-2.0
2588,I got the cops outside and the game on tv what to watch,5.0,1.0,0.0,-2.0
2589,is hurting...,3.0,2.0,-1.0,-2.0
2590,Going to take my neice Georgia Hudson ice skating.here goes the wet sore butt from falling over .,5.0,1.5,0.0,-2.0
2591,Every seems like a pointless repetitive cycle that never ends but it must go on. I just want something to happen to make it seem like there's a point to it all.,2.5,1.5,-1.0,-2.0
2592,Still cant beleive that scotland lost to wales,5.0,1.5,0.0,-2.0
2593,when u say that ever1 is going to dq ur supposed to come inside not take the drive thru...:),5.0,2.5,0.0,-2.0
2594,<PERSON>s 7 today!,5.5,5.0,0.0,0.0
2595,"In Fayetteville now.  I flew in to Raleigh-Durham airport, and on the drive I knew I was getting close when I started seeing fences around used car dealerships.  The pawn shops and payday loan places were dead giveaways too.  Ditto strip clubs.  You military/veteran guys know just what I'm talking about.",5.0,1.5,0.0,-2.0
2596,"His armband proved he was a red, Torres, Torres, you'll never walk alone it said, Torres, Torres...",5.0,1.5,0.0,-2.0
2597,hates waking up @ 5am,4.0,2.0,-1.0,-2.0
2598,Hello all. hope everyone has a good day.,6.0,1.5,1.0,-2.0
2599,All alone. Can't sleep. Thinking too much...,3.0,2.0,-1.0,-2.0
2600,What a crappy day to trick or treat but well have fun where letting trin watch carrie he he i cant wait!,5.5,5.0,0.0,0.0
2601,I have been busy scoring online.,5.0,1.5,0.0,-2.0
2602,Keepin my head high and doin what I can,7.0,1.5,1.0,-2.0
2603,not looking forward to this.,4.0,1.0,-1.0,-2.0
2604,is currently wanting to take a class where all you do is draw naked models. It's educational. I just hope they'd be neat and tidy. X),5.0,2.5,0.0,-2.0
2605,"It must've been so hard on you        I'm sorry for all I put you through        I'm sorry for the helping hand I didn't lend        I wish I'd been a better friend        How do I tell you I'm sorry -        With a gesture, a look, a touch?        How is it I never realized        I hurt you so much        I'm sorry I hurt you        I didn't mean to        I'm sorry I hurt you,         I regret it, I do.        What I did, I regret",3.0,2.0,-1.0,-2.0
2606,<URL>,5.0,1.0,0.0,-2.0
2607,[<l:-P],5.0,1.5,0.0,-2.0
2608,chillen wit mi gurlz. Last nite we watched set it off. Thts mi shyt. Man we had so much fun. Well nite two.,6.5,2.0,1.0,-2.0
2609,That nigga ray still mean after 15yrs in the league!,4.5,5.5,-1.0,0.0
2610,is thinking it is too early...getting ready to go to my mom's yard sale :),6.0,3.5,1.0,-1.0
2611,"Finally got the internet up and running at the new place, thank you all for your fond Birthday wishes!",6.5,5.5,1.0,0.0
2612,"7 more months and im jobless, homeless and happy.",4.5,1.5,-1.0,-2.0
2613,i hate the fucking snow,2.5,3.5,-1.0,-1.0
2614,"WHENEVER I NEED ANYTHING FROM YOU, I GET IT. BUT I DON'T KNOW HOW YOU GET TO KNOW MY NEEDS WITHOUT EVEN YET BEING PART OF MY LIFE.",4.5,4.5,-1.0,-1.0
2615,Shot out to all the mommies out there HAPPY MOTHERS DAY!! Hope everyone of yall have a blessed and wonderful day,8.0,6.5,1.0,0.0
2616,it's snowing in hiram and it looks like it's stickin^.^,5.5,2.5,0.0,-2.0
2617,Not much progress over the weekend.  Hoping she'll make her appearance soon!,5.5,5.0,0.0,0.0
2618,finals D:,4.0,2.0,-1.0,-2.0
2619,fixing to have the best weekend in the world,7.0,1.0,1.0,-2.0
2620,just bought a phone =],6.0,2.0,1.0,-2.0
2621,VOODOO FEST WAZ AWESOMENESS!!,7.0,7.5,1.0,1.0
2622,exhausted and my back is so weak still from yesterday and my tat...,3.5,2.5,-1.0,-2.0
2623,In the Bahamas!!! SO NICE!!!,7.5,7.5,1.0,1.0
2624,EID GREETINGS TO ALL MY WONDERFUL FRIENDS............,7.0,5.0,1.0,0.0
2625,<PERSON> wer pox lucky today da bastards.united wil be bak on top in no time!!,5.0,5.5,0.0,0.0
2626,I am glad that my internet is now definitely fixed. Thanks <PERSON>!,6.5,4.5,1.0,-1.0
2627,OMFG!!! why? simone why? well that has ruined my sunday,3.0,7.0,-1.0,1.0
2628,coo.. friday night headin out to club laterz an keepin warm...,5.0,3.0,0.0,-2.0
2629,Go you All White good things!!,5.5,5.5,0.0,0.0
2630,lol i just got suspendid,4.0,2.5,-1.0,-2.0
2631,wet and hard,5.0,2.5,0.0,-2.0
2632,last day of 2009,5.0,1.0,0.0,-2.0
2633,Thank you everyone for all the great Birthday wishes. Have a wonderful evening all. God Bless!,7.5,5.0,1.0,0.0
2634,Was trying on school uniforms xD feels so weird wearing them again D:,5.0,3.0,0.0,-2.0
2635,Ok ppl am reelasing Flo rida - Right roung ( Tribo Elctro rmx) today... watch this space!!!,5.0,6.5,0.0,0.0
2636,seriously what is the deal...,4.0,2.5,-1.0,-2.0
2637,lalala Had a good day today :] Text meeee 951-741-0883,6.0,3.0,1.0,-2.0
2638,"its ok 2 scream n if u nd2, take a secnd2 breathe..(deep breath) hey, der it is..i cn fl ur legs tremblin' u fl da sweat drippn frm my chest n den u lyk oh-oh-oh bby dnt stp n i b lyk no-i-won't ima tke u 2 da top..('',)",5.0,2.0,0.0,-2.0
2639,<PERSON>hi mr.  I just passed you in restaurant city (:,6.0,2.0,1.0,-2.0
2640,So i own 3 cars and I cant drive any of them yay me....,4.0,2.5,-1.0,-2.0
2641,Played Mass Effect 2 with beer in hand most of the weekend ^^,5.0,1.5,0.0,-2.0
2642,Cant wait til December 10 to see my new man!! YAY!!!,6.5,7.0,1.0,1.0
2643,Never give up,6.5,1.0,1.0,-2.0
2644,"if anyone is wondering why I'm not calling or texting back, my Blackberry died Saturday night... hopefully it is just the battery!",5.0,4.0,0.0,-1.0
2645,"Decided to play along with this Way-Back Week\ picture thing.\""""",5.0,1.5,0.0,-2.0
2646,"There is no sin except stupidity.\                                                                 Oscar Wilde\""""",5.0,1.5,0.0,-2.0
2647,Maybe your subconcious can make me some waffles. \\n *Pink Spider*,5.0,1.5,0.0,-2.0
2648,Wants to see everyone again!,6.0,5.0,1.0,0.0
2649,"just saved a baby bird from a dog. good deed for the day, check.",6.0,1.5,1.0,-2.0
2650,I am feeling much better today.,7.0,1.5,1.0,-2.0
2651,im madly in love with tory seeley!!! <3Ã¢â‚¬Å’,7.0,6.5,1.0,0.0
2652,Thanks everyone for your birthday wishes another year is good thing blessed to have so many wonderful people in my life I love you all.P.S Tamika a birthday baby is a great gift thanks and much love to you all even you colts fans lol <PERSON> and <PERSON>,8.0,2.0,1.0,-2.0
2653,"It's exciting to get a new washer, but not so exciting to clean up the inch of water that flooded our utility room, kitchen, and dining room!  Thanks <PERSON> and <PERSON>for installing the washer WRONG!!!",3.5,7.0,-1.0,1.0
2654,bored has no life and is want to go do something,3.5,1.0,-1.0,-2.0
2655,is trying to decide if the $60 he's gotten for his birthday should go towards some the bills or if he should actually buy something for himself.  He's not sure if he remembers how to do that anymore.,5.0,1.5,0.0,-2.0
2656,"i am crying i am laughing so hard, my assistant kills me with her stories.....marshmallow puff? really<PERSON>, really?",6.0,4.0,1.0,-1.0
2657,my rollercoaster...,5.0,2.0,0.0,-2.0
2658,Kudos to you Mom!! I'm really happy something good has finally come your way!! Love You!!,7.5,6.5,1.0,0.0
2659,Happy New Year Everyone! xox,6.5,5.5,1.0,0.0
2660,Going 4 a transplant appointment and all that goes with it. I haven't been feeling peachy but not horrid but knowing them its a long drive 4 NO THING.....although I do need 2 know what antibiotics 2 take 2 get my teeth worked on.Last time the med didn't work and I went septic again (not fun) I also have an eye appt Friday.I re}ly w/t some neat new glasses.well let's see what me lung studies show...I am a lil scared:(,3.5,3.0,-1.0,-2.0
2661,hopes my mom feels better soon...she broke her arm at church today.  Let that be a lesson to everyone about going to mass on weekdays!,4.0,4.5,-1.0,-1.0
2662,gudnyt everybody,5.0,1.0,0.0,-2.0
2663,"I've become a huge fan of the delete\ option in the matrix controls for MathCad.  Makes simplifying those pesky Stiffness Matrices a lot faster.  Assuming one deletes the correct rows and columns.\""""",5.0,1.0,0.0,-2.0
2664,New jobs are good.... I guess,5.5,2.0,0.0,-2.0
2665,reading Siddhartha,5.0,1.0,0.0,-2.0
2666,"My heart is broken for my sister. Her husband died today. She is a total mess, but I will help her get through this. I am strong enough. Maybe if I tell myself that enough, it will come true.",2.0,1.5,-1.0,-2.0
2667,Happy Valentine's Day to all........,5.5,2.0,0.0,-2.0
2668,"WINNING\ is not a moment fr me its wat m here for ......!!!\""""",5.5,4.0,0.0,-1.0
2669,Thanks everyone,5.5,1.0,0.0,-2.0
2670,Merry Christmas!,6.5,5.0,1.0,0.0
2671,I'm decorating my house for x-mas tom it should be fun!!,6.5,5.5,1.0,0.0
2672,"Thank you all so much for the prayers and support! Its great to be back home! The trip was amazing and alot of good was done. It is to no one's credit, but Jesus Christ. To Him be the glory!",8.0,6.0,1.0,0.0
2673,Watchhin Pregency Pact,5.0,1.0,0.0,-2.0
2674,is making a collage.,5.0,1.0,0.0,-2.0
2675,My aunt<PERSON> is teaching me how to make fried potatoz... Yum!,6.0,4.5,1.0,-1.0
2676,"P \POKE\"" me if you've ever had a crush on me. \""LIKE\"" this status if you find me attractive. \""MESSAGE\"" me if you've everwanted to date me & \""COMMENT\"" if we have had any good memories (: Now let's see who's brave enough to copy and paste this as their status...\""""",5.5,2.5,0.0,-2.0
2677,"Ã¢â‚¬Å“Sometimes you've got to let everything go - purge yourself. If you are unhappy with anything . . . whatever is bringing you down, get rid of it. Because you'll find that when you're free, your true creativity, your true self comes out.Ã¢â‚¬Â",7.0,2.0,1.0,-2.0
2678,Thank you very much for all the lovely wishes guys!!!! :) :-*,7.0,6.5,1.0,0.0
2679,Chunk: Sixteen thrity-two. What is that? A year?  Mouth: No,5.0,1.5,0.0,-2.0
2680,watching fantacy factory and resting from a long day.,5.0,1.0,0.0,-2.0
2681,"OK...I guess I'm relatively new to this event scheduling thing....I couldn't figure out how to do the Facebook event scheduler, so I tried evite....feel free to respond to either but I think any future updates will be through the facebook events page.",5.0,2.5,0.0,-2.0
2682,Someone remind me to upload a photo or two,5.0,1.0,0.0,-2.0
2683,Bengaluru here I come :)),6.0,3.5,1.0,-1.0
2684,tune into 87.7 on the radio tomoro to hear mine and aqils show,5.0,1.0,0.0,-2.0
2685,"Well Final Fantasy XI's servers have been shutdown for at least a week due to the earthquakes, (which I understand completely) but WTF am I going to do now? :O",4.0,3.5,-1.0,-1.0
2686,You'll never hear anybody scream Don't just stand there,5.0,1.5,0.0,-2.0
2687,stayed up way to late last night.... and has a LOT of work to get done today  :(,3.5,2.5,-1.0,-2.0
2688,Gettin ready for work soon and not lookin forward to it.,4.0,1.5,-1.0,-2.0
2689,"Damn finally got caught up on my sleep, but I went a lil overboard. Oh well Im up now!",5.5,4.0,0.0,-1.0
2690,damn i smoked a vap oh shit lol,5.0,2.5,0.0,-2.0
2691,Pink Champagne,5.0,1.0,0.0,-2.0
2692,listen to your heart,6.0,1.0,1.0,-2.0
2693,thank you to all the girl that went out with me for my bday this weekend it was a blast <3,7.0,2.5,1.0,-2.0
2694,I am a saved man today. And I look at the word different. As I would if I was just born. So world I pray fo you this day. And may god bless all.,7.0,1.5,1.0,-2.0
2695,Loves my mom! For all of you that aren't too proud to say thank you to your moms for helping you be the great person you are today... please copy and paste to your profile! I expect to see this many times on my page! Some people no longer have their moms here to appreciate! (But we can still say THANKS for their love.),7.5,5.5,1.0,0.0
2696,"thanks you guys, 17 is such a milestone age xD well at least it's an awesome number",6.0,2.5,1.0,-2.0
2697,"The world is to Small to be lost in it. Live your life, don't let life kill you!",6.5,5.0,1.0,0.0
2698,Wishes she could have gone to <PERSON>'s funeral! :(,2.5,5.5,-1.0,0.0
2699,<PERSON>  is looking @ a new tennis racket,5.0,1.5,0.0,-2.0
2700,Bored wat can I do??,4.5,3.0,-1.0,-2.0
2701,Damn it! I forgot about daylight savings!!!!!!,4.5,7.0,-1.0,1.0
2702,is in jury duty.,5.0,1.0,0.0,-2.0
2703,is hanging out with <PERSON>.....dreading work.....and missing <PERSON>!! I love him so much!!,5.0,5.5,0.0,0.0
